0,台湾,80070,2620941,2603826,3373,13742
1,香港,84,332967,260934,9389,62644
2,上海,4,63066,349,595,62122
3,北京,5,3441,160,9,3272
4,天津,0,1978,136,3,1839
5,内蒙古,37,1886,133,1,1752
6,吉林,0,40293,128,5,40160
7,福建,4,3315,69,1,3245
8,四川,1,2354,60,3,2291
9,广东,4,7324,29,8,7287
10,辽宁,11,1699,26,2,1671
11,云南,3,2157,16,2,2139
12,浙江,0,3139,11,1,3127
13,广西,2,1646,10,2,1634
14,河南,0,3183,6,22,3155
15,重庆,1,715,4,6,705
16,山东,0,2738,4,7,2727
17,江苏,0,2235,3,0,2232
18,河北,0,2005,1,7,1997
19,湖北,0,68399,1,4512,63886
20,澳门,0,83,1,0,82
21,黑龙江,1,2985,1,13,2971
22,山西,0,422,1,0,421
23,新疆,0,1008,0,3,1005
24,湖南,0,1393,0,4,1389
25,宁夏,0,122,0,0,122
26,西藏,0,1,0,0,1
27,江西,0,1383,0,1,1382
28,青海,0,147,0,0,147
29,贵州,0,185,0,2,183
30,海南,0,288,0,6,282
31,陕西,0,3283,0,3,3280
32,安徽,0,1065,0,6,1059
33,甘肃,0,681,0,2,679
